Company Name,Contact Name,Phone,Email,NAICS Codes,Set-Asides,Past Contracts,Notes,Call Status,Follow-Up Date,Meeting Scheduled
"Example Company LLC","John Smith","(555) 123-4567","john@example.com","541512, 541519","8(a), HUBZone","VA, DHS","Strong IT background",Not Called,,
"Sample Services Inc","Jane Doe","(555) 987-6543","jane@sample.com","541611, 541618","SDVOSB","DoD, Army","Management consulting",Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
,,,,,,,,Not Called,,
